FIPS,City,Year,Population,Primary.Point,Date,MSA,microMSA
1952815,Mingo,July 01 2009,261,POINT (-93.2826185 41.7662068),7/1/09,,
1936705,Holland,July 01 2004,261,POINT (-92.7988148 42.3999555),7/1/04,,
1914115,Cleghorn,July 01 1995,261,POINT (-95.7126506 42.812537),7/1/95,,
1944355,Leland,July 01 2002,261,POINT (-93.6350977 43.3318155),7/1/02,,
1963075,Pisgah,July 01 1993,261,POINT (-95.9263861 41.8304354),7/1/93,,
1943680,Laurel,July 01 2008,261,POINT (-92.922164 41.884062),7/1/08,,
1919765,Deloit,July 01 2015,261,POINT (-95.3174643 42.0971421),7/1/15,,
1936705,Holland,July 01 2005,261,POINT (-92.7988148 42.3999555),7/1/05,,
1946065,Lockridge,July 01 2006,261,POINT (-91.7492245 40.9936662),7/1/06,,
1941295,Kimballton,July 01 1999,261,POINT (-95.0748694 41.6271029),7/1/99,,
1901540,Alta Vista,July 01 2014,261,POINT (-92.4170267 43.1967709),7/1/14,,
1919450,Dedham,July 01 1991,261,POINT (-94.8232369 41.9087315),7/1/91,,
1941610,Kiron,NA,260.9270313,NA,7/1/20,,
1950430,Maurice,July 01 2004,260,POINT (-96.1827384 42.9660542),7/1/04,,
1980490,Van Wert,July 01 1996,260,POINT (-93.7918044 40.8710641),7/1/96,,
1946065,Lockridge,July 01 2007,260,POINT (-91.7492245 40.9936662),7/1/07,,
1901540,Alta Vista,July 01 2009,260,POINT (-92.4170267 43.1967709),7/1/09,,
1919450,Dedham,July 01 1992,260,POINT (-94.8232369 41.9087315),7/1/92,,
1916815,Coulter,July 01 2002,260,POINT (-93.3700471 42.73312),7/1/02,,
1940665,Kensett,July 01 2017,260,POINT (-93.2106319 43.3534357),7/1/17,,
1919450,Dedham,July 01 1997,260,POINT (-94.8232369 41.9087315),7/1/97,,
1916815,Coulter,July 01 1991,260,POINT (-93.3700471 42.73312),7/1/91,,
1950430,Maurice,July 01 2006,260,POINT (-96.1827384 42.9660542),7/1/06,,
1980490,Van Wert,July 01 1997,260,POINT (-93.7918044 40.8710641),7/1/97,,
1940665,Kensett,July 01 2016,260,POINT (-93.2106319 43.3534357),7/1/16,,
1919765,Deloit,July 01 2018,260,POINT (-95.3174643 42.0971421),7/1/18,,
