"","FIPS","City","Year","Population","longitude","latitude","Date","MSA","microMSA"
"5362",1964470,"Prairie City","July 01 2017",1723,-93.2391586,41.5952729,"7/1/17","",""
"5363",1963975,"Pocahontas","July 01 2015",1723,-94.6661298,42.7371357,"7/1/15","",""
"5364",1966405,"Remsen","July 01 2004",1723,-95.9724007,42.8148253,"7/1/04","",""
"5365",1907390,"Bondurant","July 01 1992",1722,-93.4546681,41.6985333,"7/1/92","",""
"5366",1975990,"Stuart","July 01 2018",1722,-94.3186774,41.5002688,"7/1/18","",""
"5367",1948990,"Manson","July 01 2005",1722,-94.5401543,42.5283851,"7/1/05","",""
"5368",1916500,"Corning","July 01 2003",1721,-94.7395154,40.9929182,"7/1/03","",""
"5369",1966315,"Reinbeck","July 01 2001",1720,-92.5942704,42.3225055,"7/1/01","",""
"5370",1903475,"Atkins","July 01 2013",1719,-91.8585601,41.9942458,"7/1/13","",""
"5371",1964470,"Prairie City","July 01 2019",1718,-93.2391586,41.5952729,"7/1/19","",""
"5372",1918255,"Dallas Center","July 01 2016",1717,-93.9816407,41.6854114,"7/1/16","",""
"5373",1954480,"Mount Ayr","July 01 1995",1715,-94.2376587,40.7141372,"7/1/95","",""
"5374",1952950,"Mitchellville","April 01 2000",1715,-93.3629093,41.6678771,"4/1/00","",""
"5375",1918255,"Dallas Center","July 01 2012",1713,-93.9816407,41.6854114,"7/1/12","",""
"5376",1918255,"Dallas Center","July 01 2018",1713,-93.9816407,41.6854114,"7/1/18","",""
"5377",1942465,"Lake City","July 01 2003",1713,-94.7310464,42.2676372,"7/1/03","",""
"5378",1966315,"Reinbeck","July 01 2002",1713,-92.5942704,42.3225055,"7/1/02","",""
"5379",1975990,"Stuart","April 01 2000",1712,-94.3186774,41.5002688,"4/1/00","",""
"5380",1900190,"Ackley","July 01 2005",1711,-93.0527656,42.5518776,"7/1/05","",""
"5381",1942465,"Lake City","July 01 2011",1711,-94.7310464,42.2676372,"7/1/11","",""
"5382",1964470,"Prairie City","July 01 2016",1710,-93.2391586,41.5952729,"7/1/16","",""
"5383",1968295,"Rockwell City","April 01 2010",1709,-94.6289164,42.3981318,"4/1/10","",""
"5384",1916500,"Corning","July 01 1995",1709,-94.7395154,40.9929182,"7/1/95","",""
"5385",1900190,"Ackley","July 01 1991",1709,-93.0527656,42.5518776,"7/1/91","",""
"5386",1966405,"Remsen","July 01 2002",1708,-95.9724007,42.8148253,"7/1/02","",""
"5387",1954480,"Mount Ayr","July 01 1996",1708,-94.2376587,40.7141372,"7/1/96","",""
"5388",1907390,"Bondurant","July 01 1991",1708,-93.4546681,41.6985333,"7/1/91","",""
"5389",1963750,"Pleasantville",NA,1707.548377,NA,NA,"7/1/20","",""
"5390",1978060,"Tiffin","July 01 2007",1707,-91.658392,41.7067521,"7/1/07","",""
"5391",1905365,"Bedford","July 01 1991",1706,-94.7240366,40.6711504,"7/1/91","",""
"5392",1964470,"Prairie City",NA,1705.582728,NA,NA,"7/1/20","",""
"5393",1918255,"Dallas Center","July 01 2017",1705,-93.9816407,41.6854114,"7/1/17","",""
"5394",1975990,"Stuart",NA,1704.451218,NA,NA,"7/1/20","",""
"5395",1922980,"Durant","July 01 2009",1704,-90.9119451,41.6014845,"7/1/09","",""
"5396",1975990,"Stuart","July 01 2002",1704,-94.3186774,41.5002688,"7/1/02","",""
"5397",1978735,"Traer","April 01 2010",1703,-92.4641603,42.1907351,"4/1/10","",""
"5398",1916500,"Corning","July 01 1999",1703,-94.7395154,40.9929182,"7/1/99","",""
"5399",1981705,"Walcott",NA,1701.486755,NA,NA,"7/1/20","",""
"5400",1962130,"Peosta","July 01 2017",1700,-90.8475209,42.447383,"7/1/17","",""
"5401",1918255,"Dallas Center","July 01 2009",1699,-93.9816407,41.6854114,"7/1/09","",""
"5402",1916635,"Corydon","July 01 1991",1699,-93.3174517,40.757426,"7/1/91","",""
