"","CITY.NAME","Year","Fiscal.Effort","Fiscal.Capacity","QOLjobs_i14","QOLmed_i14","QOLk12_i14","QOLhousing_i14","QOLgovt_i14","QOLchildsrv_i14","QOLseniorsrv_i14","Proportion of land dedicated to ag","Number of unique crops grown","Shannon's Diversity Index","Shannon's Evenness Index","Simpson's Diveristy Index, Chance","Simpson's Evenness Index","miles50","min50","miles25","min25","miles10","min10","CITY.SIZE","QoL Average"
"77","PACIFIC JUNCTION",2016,109.739781125768,88.3358923737907,16.6667,33.3333,66.6667,42.029,51.3889,22.2222,33.3333,0.611898639459822,14,1.09401742276013,0.414548562656509,0.648577999677931,0.20325583305288,19.21,23,141.2,129,116.24,115,"RURAL",37.9485857142857
"78","PLEASANTVILLE",2016,68.4930008116034,97.3179977437993,29.5597,62.3656,74.3961,57.3099,63.4921,59.5238,61.3636,0.74845634429031,10,1.2232574993159,0.531253981899668,0.68228942511928,0.314751877672135,25.87,36,34.03,43,15.94,21,"RURAL PLUS",58.2872571428571
"79","POCAHONTAS",2016,137.408024360143,96.1198533890558,44.7368,71.7514,77.9874,62.2222,77.9762,67.8161,59.1398,0.925713889521697,10,0.786803813544291,0.34170455456272,0.508745637637127,0.203560533323332,109.74,109,41.87,50,33.55,42,"RURAL PLUS",65.9471285714286
"80","POMEROY",2016,160.533824019994,88.0819913552948,25.1572,11.1111,74.5455,45.614,50.3401,46.8254,39.6825,0.92500789963066,12,0.898814038595529,0.361709377964847,0.548216651103652,0.184454193668064,96.76,94,29.89,39,31.61,39,"RURAL",41.8965428571429
"81","QUASQUETON",2016,93.6194678866063,82.5770602576992,23.8095,43.75,77.0833,44.697,58,45.3333,39.7436,0.830759145290451,12,0.976167623584748,0.392838750569576,0.538621505687453,0.180618157024202,36.95,39,33.71,44,51.36,58,"RURAL",47.4881
"82","RADCLIFFE",2016,95.6562145046094,102.478607310986,28.9474,18.75,63.6364,52.381,69.2308,55.914,41.2698,0.942935588315524,11,0.809294942736386,0.337502205336903,0.475277544861338,0.173251763896911,30.86,36,50.56,53,41.26,47,"RURAL",47.1613428571429
"83","SABULA",2016,94.4013830888221,114.62523368582,12.963,35.5556,54.386,40.1961,55.814,36.6667,34.8485,0.349699842022117,11,1.19140724910181,0.496855414253109,0.637470004909657,0.250762949660031,44.7,52,17.9,24,87.26,93,"RURAL",38.6328428571429
"84","SAC CITY",2016,115.061753832371,87.8021872662637,37.037,85.2459,72.3404,52.0833,66.6667,59.375,63.0631,0.865583729302893,17,1.02616842403003,0.36219242937805,0.591267146006787,0.14391681225787,76.05,79,46.13,49,24.87,30,"RURAL PLUS",62.2587714285714
"85","ST. CHARLES",2016,108.263795415428,104.627397280826,20.8333,30.6306,70.6667,53.6232,56,41.6667,29.6296,0.65349242302639,13,1.26458750453513,0.493026305122319,0.656379448754385,0.223860524768478,21.22,23,28.49,32,17.22,22,"RURAL",43.2928714285714
"86","SHEFFIELD",2016,90.8807782100011,113.351293279283,62.1212,65.6566,80.3279,54.2373,62.1469,62.1212,45.098,0.892377740583001,13,0.913726432829469,0.356235662186235,0.541091599093073,0.167621853884253,68.47,73,19.68,30,50.1,59,"RURAL PLUS",61.6727285714286
